appid,name,developer,publisher,positive,negative,owners,price,initialprice,discount,ccu
1686680,The Witch Eye,Kartikay Rathi,Kartikay Rathi,2,1,35000.0,9.99,9.99,0,0
1686840,Loop Room,OOPs.K,OOPs.K,3,1,35000.0,2.99,2.99,0,0
1686940,Bopl Battle,Johan Grönvall,Zapray Games,18609,516,1500000.0,9.99,9.99,0,480
1686980,TIERRA - Mystery Point & Click Adventure,M9 Games,M9 Games,9,6,150000.0,6.99,6.99,0,1
1687000,Fading Afternoon,yeo,"yeo, IndieArk",737,163,35000.0,19.99,19.99,0,5
1687020,OneForAll,"Relka studio, Raphael Chalupowicz",Relka studio,10,6,35000.0,5.99,5.99,0,0
1687060,Lord of the Click 2,HugePixel,HugePixel,31,10,35000.0,10.99,10.99,0,0
1687190,Starlight Explorers,Dire Kitten Games,Dire Kitten Games,18,0,35000.0,5.99,5.99,0,0
1687280,Starfighter Aces,Adlai Glass,Adlai Glass,1,3,75000.0,4.99,4.99,0,0
1687530,Elder Ring,Funny as Hell,2P Games,110,65,150000.0,9.99,9.99,0,84
1687590,Mars Base,Khuong Le,indie.io,24,18,75000.0,19.99,19.99,0,0
1687940,Lolita Expedition,GIRLSOUL,GIRLSOUL,188,22,75000.0,5.99,5.99,0,2
1687950,Persona 5 Royal,ATLUS,SEGA,99657,3487,3500000.0,17.99,59.99,70,4994
1688100,Cat Museum,751 Games,751 Games,761,62,75000.0,4.99,4.99,0,1
1688470,Rat Prison,Piece Of Voxel,Piece Of Voxel,9,6,35000.0,9.99,9.99,0,0
1688580,A YEAR OF SPRINGS,npckc,npckc,771,10,35000.0,4.99,4.99,0,1
1688980,Cube Runk,Heliongames,Heliongames,5,0,35000.0,0.99,0.99,0,0
1689080,Mercury Abbey,YiTi Games,"Gamirror Games, YiTi Games",717,61,35000.0,12.59,17.99,30,2
1689190,RAYZE,"DreamSkillz, Hyperstrange",Hyperstrange,143,11,35000.0,11.99,11.99,0,0
1689350,My life as an archeologist,Delirium Tremens Games,Delirium Tremens Games,291,38,75000.0,3.99,3.99,0,0
1689480,乡间,飞麦菌,飞麦菌,71,20,35000.0,5.99,5.99,0,0
1689500,Dune: Imperium,Dire Wolf,Dire Wolf,3053,167,150000.0,22.99,22.99,0,305
1689530,Big Fish,TOQ Games,TOQ Games,1,2,10000.0,4.99,4.99,0,0
1689620,BLEACH Rebirth of Souls,TAMSOFT CORPORATION,Bandai Namco Entertainment Inc.,3538,2004,150000.0,59.99,59.99,0,99
1689640,Warden's Will,ELYZIO,ELYZIO,237,78,10000.0,14.99,14.99,0,2
1689870,Meridian 157: Chapter 3,NovaSoft Interactive Ltd.,NovaSoft Interactive Ltd.,308,9,75000.0,5.99,5.99,0,0
1689910,Dōkyūsei: Bangin' Summer,"Elf, Shiravune",Shiravune,1649,115,75000.0,19.99,19.99,0,10
1690210,Sea of Dreams,Aubega,Aubega,24,1,35000.0,2.99,2.99,0,0
1690500,Meteor Storm,Z Sculpt Entertainment,Z Sculpt Entertainment,5,0,35000.0,4.99,4.99,0,0
1690730,Incremental Cubes,"Idle System, Inc.","Idle System, Inc.",664,294,150000.0,0.0,0.0,0,54
1690820,Parking Slide,Guara Digital,Guara Digital,42,14,35000.0,0.99,0.99,0,0
1690880,Up All Night,Fiendish Fiction,Fiendish Fiction,34,3,10000.0,6.99,6.99,0,0
1691190,Rogue Waters,Ice Code Games,Tripwire Presents,726,163,75000.0,29.99,29.99,0,22
1691320,Hellbreach: Vegas,Infinity Ape Studios,Iceberg Interactive,403,133,150000.0,14.99,14.99,0,1
1691420,START AGAIN: a prologue,insertdisc5,insertdisc5,481,18,150000.0,10.99,10.99,0,4
1691480,World Titans War,PROMVI GAMES,PROMVI GAMES,59,37,75000.0,14.99,14.99,0,0
1691560,Mido and Di,"Alper Gonen, Dogan Dipcin",Alper Gonen,227,201,150000.0,0.99,0.99,0,0
1691830,Temple with traps,Hede Games,Hede Games,1,10,10000.0,199.99,199.99,0,0
1691970,Danganronpa S: Ultimate Summer Camp,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",371,216,35000.0,19.99,19.99,0,8
1692080,SVFI,SDT Core,SDT Core,442,139,150000.0,6.99,6.99,0,79
1692240,Fortune's Run,Team Fortune,Team Fortune,500,39,75000.0,19.99,19.99,0,1
1692250,F1 22,Codemasters,Electronic Arts,17694,8046,750000.0,0.0,0.0,0,234
1692290,INHUMAN,秋太虚工作室,QutosoGame,71,38,35000.0,3.99,3.99,0,0
1692340,Unknown Number: A First Person Talker,godolphin games,Meaning Machine,23,1,10000.0,14.99,14.99,0,0
1692470,The Trader,IndieDevDan,IndieDevDan,5,2,35000.0,0.0,0.0,0,0
1692520,Robots n Lasers,Lukas Strobel - Tuatha Games,Lukas Strobel - Tuatha Games,9,2,10000.0,0.0,0.0,0,1
1692850,Historic Fighters,Hero Games,Hero Games,1,1,75000.0,4.99,4.99,0,0
1693000,Within the Range,Aries,Aries,136,98,35000.0,11.99,11.99,0,0
1693040,Synthwave Burnout,Whale Rock Games,Whale Rock Games,168,79,35000.0,1.79,11.99,85,0
1693140,ONCE IN MY HEAD,New Jerty Developer,New Jerty Publisher,2,1,35000.0,2.99,2.99,0,0
1693260,Yugo Puzzle,Qrostar,Qrostar,273,3,10000.0,4.79,5.99,20,6
1693280,Supplice,Mekworx,Hyperstrange,387,58,35000.0,14.99,14.99,0,27
1693310,Winging It,Pixelvex LLC,Pixelvex LLC,43,1,10000.0,0.0,0.0,0,0
1693340,Where is the meaning?,Gumarov Productions,Gumarov Productions,3,0,35000.0,9.99,9.99,0,0
1693390,XOMBEE MPFPS,Christopher V. Costello,ChristopherCgaming llc,4,0,150000.0,0.99,0.99,0,0
1693460,KILLER,Bukra Games,Bukra Games,3,2,35000.0,0.99,0.99,0,0
1693540,Dash Realm,EndRealm,EndRealm,12,1,35000.0,0.0,0.0,0,0
1693620,The Vaults of Minos,Thunder Perfect Witchcraft,Thunder Perfect Witchcraft,2,0,35000.0,4.0,4.0,0,0
1693660,Cards of Patience,Max Ritters,Max Ritters,19,3,35000.0,4.99,4.99,0,0
1693960,Atomic Wilds,Klastor Games,Klastor Games,2,0,35000.0,4.99,4.99,0,0
1693970,PARTY RUSH!!,SECHAN,HIKE Inc.,12,6,350000.0,9.99,9.99,0,0
1693980,Dead Space,Motive,Electronic Arts,46485,4774,750000.0,14.99,59.99,75,313
1693990,虫鸣,深圳市创源互娱科技有限公司,深圳市创源互娱科技有限公司,76,42,150000.0,5.99,5.99,0,0
1694180,Find the cubs,Ready To Play,Ready To Play,8,17,10000.0,0.0,0.0,0,0
1694230,Abtos Covert,"Iphigames, Team Abtos",Iphigames,66,9,75000.0,4.99,4.99,0,0
1694260,Moons of Ardan,Pandora Technology,Pandora Technology,82,5,35000.0,19.99,19.99,0,0
1694270,DOG'S DONUTS,Robotizar Games,Robotizar Games,31,3,10000.0,1.99,1.99,0,0
1694320,Nilia,4 Hats,4 Hats,2,1,35000.0,4.99,4.99,0,0
1694420,Card Survival: Tropical Island,WinterSpring Games,WinterSpring Games,2596,133,75000.0,24.99,24.99,0,89
1694430,Dynamic Dungeons Editor,Dynamic Dungeons,Dynamic Dungeons,134,66,75000.0,29.99,29.99,0,10
1694510,Barista Simulator,CubeCube Sports Ltd.,CubeCube Sports Ltd.,471,125,35000.0,14.99,14.99,0,9
1694560,Inspector Schmidt - A Bavarian Tale,Active Fungus Studios,Active Fungus Studios,289,76,350000.0,17.99,17.99,0,0
1694600,THE HOUSE OF THE DEAD: Remake,MegaPixel Studio S. A.,Forever Entertainment S. A.,1603,719,150000.0,2.49,24.99,90,2
1694620,Ragtag Racing,Vince Vector,"Credit 1 Studios, Haphazard Studios",7,2,75000.0,0.99,0.99,0,0
1694960,Furry Feet,bhungry,bhungry,1402,328,150000.0,2.99,2.99,0,13
1694970,Jude,Trois7ème,Trois7ème,0,2,35000.0,11.99,11.99,0,0
1695040,Cupid's Palace,Gamma Ray Chamber,Gamma Ray Chamber,1,1,35000.0,0.99,0.99,0,0
1695670,ScrewUp,199 Cents STUDIO,199 Cents STUDIO,202,87,35000.0,9.99,9.99,0,0
1695830,Baldur's Gate: Dark Alliance,"Square One Games Inc., Black Isle Studios",Interplay Entertainment Corp.,763,154,75000.0,39.99,39.99,0,8
1695840,Fear Therapy,Black Flag Studios,Black Flag Studios,3140,1511,350000.0,4.99,4.99,0,12
1695970,CUBE-e,Piece Of Voxel,Piece Of Voxel,1,4,35000.0,9.99,9.99,0,0
1696220,FixFox,Rendlike,Joystick Ventures,345,46,35000.0,14.99,14.99,0,0
1696440,The Matchless Kungfu,HuanMos Game,bilibili,6076,1196,350000.0,19.99,19.99,0,112
1696670,Agarta,FF Digital,FF Digital,344,136,75000.0,2.99,2.99,0,0
1696710,Inventory Manager,VidejaGames,VidejaGames,27,11,10000.0,0.99,0.99,0,0
1696810,Railroads Online,Stefan Kelnberger,astragon Entertainment,4296,1269,350000.0,29.99,29.99,0,83
1696930,Conundrum,wow wow Games,wow wow Games,3,4,10000.0,9.99,9.99,0,0
1696960,Lake Haven - Chrysalis,Encrypt Games,Encrypt Games,437,14,75000.0,2.99,2.99,0,0
1697050,Polybius Invaders,"Jonni the Dodger, Peter Ward",Jonni The Dodger,5,2,10000.0,9.99,9.99,0,0
1697110,Grim Tranquility,"Poorly Timed Games, LLC","Poorly Timed Games, LLC",4,3,75000.0,14.99,14.99,0,0
1697170,4 Rush Together,Honglizi,Honglizi,36,4,75000.0,4.99,4.99,0,2
1697250,Brick People,soxcz,soxcz,2,4,75000.0,1.99,1.99,0,0
1697420,Alien Destroyer,RandomSpin,RandomSpin,11,12,75000.0,0.49,0.99,51,0
1697460,Coin Pusher World,CPW Games,CPW Games,70,12,35000.0,2.99,2.99,0,41
1697470,Color by Number - Medieval Portrait,Boogygames Studios,Boogygames Studios,1,0,35000.0,1.99,1.99,0,0
1697630,DROPTCH,Crunchy Sushi,Crunchy Sushi,0,2,35000.0,5.99,5.99,0,0
1697680,Fear Corporation,PimpGameStudio,PimpGameStudio,8,10,35000.0,9.99,9.99,0,0
1697700,Who's Lila?,Garage Heathen,"Garage Heathen, IndieArk",2598,133,350000.0,11.99,11.99,0,7
1697720,The Heilwald Loophole,Jan Malitschek,Jan Malitschek,321,9,75000.0,9.99,9.99,0,0
1697760,DC League of Super-Pets: The Adventures of Krypto and Ace,PHL Collective,Outright Games Ltd.,18,17,35000.0,39.99,39.99,0,0
1697880,Junkyard Truck,Keystone Knight,Keystone Knight,790,230,75000.0,14.99,14.99,0,7
1697940,The Whisperer,Studio Chien d'Or,Studio Chien d'Or,79,35,35000.0,0.79,4.99,84,1
1698110,Project:Special Forces,A Studios,A Studios,2,3,35000.0,0.99,0.99,0,0
1698120,Arena 54 - Visual Novel Action Adventure,Peaksel,Peaksel,2,1,35000.0,1.99,1.99,0,0
1698220,Teslagrad 2,Rain Games,Maximum Entertainment,340,104,35000.0,19.99,19.99,0,0
1698280,CAPITALISM The action board game for one player,Dracula's Cave,Dracula's Cave,10,2,10000.0,4.99,4.99,0,0
1698520,Simple Fish Adventure,LostVolBytes,LostVolBytes,362,49,35000.0,3.99,3.99,0,1
1698600,Through the Fog,"Michael Takami, Marcus Olivas, Miles Berman, Finn Depuy, Lance Dennison, Abner Salazar, Jackson Nadler-Block",Team 1,3,0,35000.0,4.99,4.99,0,0
1699030,Geo Mythica,"Guin Entertainment, LLC","Guin Entertainment, LLC",31,0,75000.0,14.99,14.99,0,0
1699280,Hammerheart,Hammerheart,Hammerheart,34,14,10000.0,10.99,10.99,0,0
1699380,Super Shooter,byDanDans,byDanDans,30,4,35000.0,3.99,3.99,0,0
1699480,KLETKA,"Callback, ln404","Callback, ln404",2982,223,150000.0,9.99,9.99,0,49
1699500,Move Dodge and Kill,DjokaGames,DjokaGames,13,0,35000.0,6.99,6.99,0,0
1699690,Pow!,The 25th Studio,The 25th Studio,12,0,10000.0,0.99,0.99,0,0
1699740,Dungeon Danger Traps,UNICORE Games Studio,UNICORE Games Studio,17,2,35000.0,3.99,3.99,0,0
1699780,Splash Jump,Crewxaa,Crewxaa,7,5,10000.0,0.99,0.99,0,0
1699860,Parkour Tag,Loopnova Studio,Loopnova Studio,177,27,10000.0,7.99,7.99,0,1
1699880,Siren Head Horror Bunker VR,Creepy Pixel Studio,Creepy Pixel Studio,5,0,35000.0,4.99,4.99,0,0
1699900,Alexandria IV,"J. M. Beraldo, Time Galleon",Time Galleon,5,1,35000.0,4.79,11.99,60,0
1699960,Falta,Revolto Software,Revolto Software,37,1,35000.0,4.99,4.99,0,0
1699980,Daydream,Adventure Hat,Adventure Hat,7,1,10000.0,13.99,13.99,0,0
1700010,瀚辰书院,炀艺科技,炀艺科技,1,1,10000.0,2.99,2.99,0,0
1700040,Neon Nights Pinball,Pinblend Studios,Pinblend Studios,9,5,10000.0,1.99,1.99,0,0
1700220,东方远空界 ~ Ultimate Vitality of Imagination,神心飘游堂,神心飘游堂,72,11,35000.0,9.99,9.99,0,0
1700240,The Revenge of Sophia Red,Sleepy Creepy Studio,Sleepy Creepy Studio,10,2,10000.0,0.99,0.99,0,0
1700270,Lucky Tower Ultimate,Studio Seufz,AMC Games,1198,83,35000.0,14.99,14.99,0,18
1700600,ESTEN,Discade Project,Discade Project,9,2,10000.0,0.99,0.99,0,0
1700800,Break Bounds: Exile 越界：流放者,"Mingyu Information Technology Shanghai Co., Ltd.","Mingyu Information Technology Shanghai Co., Ltd.",30,3,35000.0,9.99,9.99,0,2
1700840,Tales from Ahrum,Marcos S Junqueira,Marcos S Junqueira,1,1,75000.0,1.99,1.99,0,0
1700870,Clanfolk,MinMax Games Ltd.,Hooded Horse,2832,276,350000.0,29.99,29.99,0,386
1700890,Asteroids: Recharged,"Adamvision Studios, SneakyBox",Atari,66,19,10000.0,9.99,9.99,0,1
1700940,Anime Zodiac,Hunny Bunny Studio,Hunny Bunny Studio,109,34,35000.0,0.99,0.99,0,0
1701140,Atomic Cards,SerVG,Hide Head,35,13,35000.0,9.99,9.99,0,0
1701380,Cricket 22,Big Ant Studios,Nacon,1392,326,75000.0,44.99,44.99,0,15
1701520,Afterimage,Aurogon Shanghai,Maximum Entertainment,6526,1878,350000.0,24.99,24.99,0,93
1701670,Hats Are Not Allowed,Lazer Genu,Lazer Genu,27,2,35000.0,6.99,6.99,0,0
1701800,Lunistice,A Grumpy Fox,Deck13,1626,63,150000.0,4.99,4.99,0,2
1701950,Crossing Guard Joe,September Games,September Games,180,13,75000.0,5.99,5.99,0,5
1702010,Sengoku Dynasty,Superkami,Toplitz Productions,4599,1601,350000.0,29.99,29.99,0,203
1702170,epic maze,kylix studio,kylix studio,3,2,35000.0,34.99,34.99,0,0
1702180,Goat's Tale (Classic),FoxSox Games,FoxLoaf Games,286,54,35000.0,0.55,1.99,72,0
1702320,PIGGY: Hunt,Shaggy Doge,Shaggy Doge,1143,521,150000.0,0.0,0.0,0,0
1702330,Rune Factory 5,Marvelous Inc.,"XSEED Games, Marvelous USA, Inc., Marvelous Europe",1444,417,150000.0,39.99,39.99,0,62
1702350,Mind Space,Quantum Drop Studio,Quantum Drop Studio,2,0,10000.0,14.99,14.99,0,0
1702430,Vlad Circus: Descend Into Madness,Indiesruption,Blowfish Studios,137,17,35000.0,19.99,19.99,0,0
1702450,Língua,Guilherme Giacomini,Guilherme Giacomini,42,1,35000.0,6.99,6.99,0,0
1702550,The Birth of an Artificial Intelligence,基本操作PlayClass,基本操作PlayClass,41,12,35000.0,34.99,34.99,0,0
1703010,Burning Brick Breaker,David Bryant,David Bryant,1,0,35000.0,0.99,0.99,0,0
1703020,SpaceKraft!,Game Dev Garage,"Game Dev Garage, Hawthorn Games",82,6,75000.0,11.99,11.99,0,3
1703030,The Key of Rednow,"G-G-Games, G. Gambrel","G-G-Games, G. Gambrel",1,1,75000.0,2.5,2.5,0,0
1703040,Decision in the Desert,Microprose,Atari,2,2,35000.0,6.99,6.99,0,0
1703060,Conflict in Vietnam,Microprose,Atari,3,2,35000.0,6.99,6.99,0,0
1703070,Airborne Ranger,Microprose,Atari,4,5,75000.0,1.49,9.99,85,0
1703080,F-15 Strike Eagle,Microprose,Atari,1,0,10000.0,0.0,0.0,0,0
1703100,Crusade in Europe,Microprose,Atari,8,1,150000.0,6.99,6.99,0,1
1703140,Isle of Jura,EM Games,"EM Games, GrabTheGames",508,395,150000.0,4.99,4.99,0,5
1703330,Hate Free Heroes Tactics: Strategy Building MMO,Hate Free Heroes,Hate Free Heroes,0,3,10000.0,0.0,0.0,0,0
1703340,The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Crows Crows Crows,28795,1760,1500000.0,24.99,24.99,0,73
1704060,Vtuber Simulator : Vtuber模擬器,阿煙,阿煙,387,63,35000.0,1.99,1.99,0,0
1704080,Bean Stalker,VR Storm Studio,VR Storm Studio,223,30,10000.0,19.99,19.99,0,0
1704180,Broken Alliance,Placeholder Gameworks,"Placeholder Gameworks, Hawthorn Games",54,7,75000.0,14.99,14.99,0,0
1704250,Pirated Code: Admin Edition,Hollowmend,"Viridian Software, Soft Source Pte",11,0,35000.0,9.99,9.99,0,0
1704260,Chromancy,Eugene Tan Jianpeng,Eugene Tan Jianpeng,6,0,35000.0,4.99,4.99,0,0
1704490,Inferno,Blue Vertex,Blue Vertex,7,0,75000.0,6.99,6.99,0,0
1704620,Harrier Jump Jet,MIcroprose,Atari,3,0,10000.0,6.99,6.99,0,0
1704630,Dogfight: 80 Years of Aerial Warfare,Microprose,Atari,5,0,35000.0,6.99,6.99,0,0
1704640,The Ancient Art of War in the Skies,Microprose,Atari,8,0,35000.0,6.99,6.99,0,0
1704760,Smalles,Pixelabor,Pixelabor,36,21,35000.0,2.99,2.99,0,0
1704830,DR4X,Untrustedlife,Untrustedlife,36,4,35000.0,0.99,0.99,0,0
1705030,Wadality,Manerai,Manerai LLC,82,3,10000.0,12.99,12.99,0,0
1705140,Final Profit: A Shop RPG,Brent Arnold,Brent Arnold,521,29,35000.0,14.99,14.99,0,2
1705180,"Gunner, HEAT, PC!",Radian Simulations LLC,Radian Simulations LLC,5616,492,350000.0,29.99,29.99,0,102
1705220,烈山海贰,图纳密游戏,图纳密游戏,56,13,35000.0,19.99,19.99,0,0
1705480,Escape from DuFo,Shcherbinskyi Artem,Triple-A Studio,17,7,10000.0,0.0,0.0,0,0
1705620,EbonSide,The Diamondstorm,The Diamondstorm,3,0,35000.0,19.99,19.99,0,0
1705870,CUBE-e 2,Piece Of Voxel,Piece Of Voxel,11,5,150000.0,9.99,9.99,0,0
1705930,Born Into Fear,Just Sauce Studio,Just Sauce Studio,238,30,75000.0,2.39,5.99,60,0
1706210,Reloader: test_subject,Nevertheless Studio,PsychoFlux Entertainment,261,25,75000.0,0.99,0.99,0,1
1706300,Venatio,"Deniz Akgul, Hakan Uludogan",Berabor Limited,5,9,150000.0,0.0,0.0,0,0
1706310,Star Shift Origins,Psychronic Game Studios,Psychronic Games,61,5,350000.0,0.0,0.0,0,0
1706540,Limitless Hunger,Void Ink,Void Ink,59,11,75000.0,4.99,4.99,0,0
1706670,War Beasts,Beast Of World,Beast Of World,24,6,35000.0,2.99,2.99,0,0
1706720,Adventurers Guild,Game Delivery,Game Delivery,2,1,75000.0,4.2,4.2,0,0
1706940,Junkyard Fury,Daniel Hood,Dhood Gaming,31,3,35000.0,4.99,4.99,0,0
1706980,Bookstore Simulator,Bookstore Simulator,Bookstore Simulator,2,4,35000.0,9.99,9.99,0,0
1707090,EscapeThisBigMaze!,Andres Gonzalez,Amino Acid Studios,1,0,10000.0,0.99,0.99,0,0
1707540,Escape From Monster,Thunder Games,Thunder Games,183,89,10000.0,4.99,4.99,0,0
1707550,Granny 3,DVloper,DVloper,899,78,150000.0,7.99,7.99,0,9
1707560,Lost Alone Ep.1 - Sorellina,Daniele Doesn't Matter,Doesn't Matter Games,83,13,75000.0,5.99,5.99,0,0
1707620,GAZZLERS,Bolt Blaster Games,Odders Lab,42,5,35000.0,9.99,9.99,0,0
1707650,Swords and Sandals Immortals,Whiskeybarrel Studios,eGames.com,909,155,150000.0,11.99,11.99,0,8
1707710,Puppet House,"Vecube Studio, Spirit Games Studio",Gaming Factory,105,10,75000.0,17.99,17.99,0,0
